hotel_name,road_addr,hotel_id,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
드래곤 수 여수,전남 여수시 국동남6길 49-10,10177,전라,국내,미등급,미분류,200개 이상,미분류,미분류,34.7266420201459,127.718822373299
포포인츠 바이 쉐라톤 조선 서울역,서울 용산구 한강대로 366,10178,서울,국내,4성,342.0,200개 이상,관광호텔업,분류,37.5508614716888,126.972783927831
코트야드 메리어트 서울 남대문,서울 중구 남대문로 9,10179,서울,국내,4성,400.0,200개 이상,관광호텔업,분류,37.5611903981746,126.976924671117
웨스틴 조선 호텔 부산,부산 해운대구 동백로 67,10180,부산,국내,5성,290.0,200개 이상,관광호텔업,분류,35.1566587901949,129.15352243264
웨스틴 조선 부산,부산 해운대구 동백로 67,10181,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1559933232415,129.154042762478
신천 상주호텔,서울 송파구 올림픽로8길 19,10182,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5100664432262,127.080585018924
거제 솔스파펜션,경남 거제시 장목면 옥포대첩로 1084-4,10183,경상,국내,미등급,미분류,200개 이상,미분류,미분류,34.955280927646,128.715227003539
거제 디스커버리,경남 거제시 장목면 옥포대첩로 1248,10184,경상,국내,미등급,미분류,200개 이상,미분류,미분류,34.9659819034821,128.706138368072
거제 지니스파펜션,경남 거제시 장목면 서목길 3-2,10185,경상,국내,미등급,미분류,200개 이상,미분류,미분류,34.9574135519536,128.713746426977
거제 스타마린풀빌라펜션,경남 거제시 일운면 거제대로 1748,10186,경상,국내,미등급,미분류,200개 이상,미분류,미분류,34.8093680838065,128.665936386956
하이호텔팬션,울산 동구 바드래5길 11-6,10187,경상,국내,미등급,9.0,100개 미만,숙박업(생활),분류,35.5165456561373,129.431252473951
신라스테이 여수,전남 여수시 수정3길 8,10188,전라,국내,미등급,315.0,200개 이상,관광호텔,분류,34.7442699357294,127.748552565322
블루원리조트경주,경북 경주시 보불로 391,10189,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.8287680407673,129.292841491461
선셋 비즈니스 호텔,부산 해운대구 구남로 46,10190,부산,국내,미등급,72.0,100개 미만,일반호텔,분류,35.160154670725,129.161378523805
서울 오요호스텔 명동3,서울 중구 명동10길 35-20,10191,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5629366709066,126.98581354454
오요호스텔 명동2,서울 중구 명동8가길 52,10192,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5617493057168,126.987960056826
서울 스텝인 명동,서울 중구 명동길 55,10193,서울,국내,미등급,23.0,100개 미만,관광호텔,분류,37.5642071094301,126.985350936337
필스테이 명동스테이션,서울 중구 명동8가길 7,10194,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5617585678206,126.985402913984
호스텔 아라125,서울 중구 명동9길 21,10195,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5647631905623,126.984536556937
소테츠 프레사 인 서울 명동,서울 중구 명동길 48,10196,서울,국내,미등급,152.0,200개 미만,일반호텔,분류,37.5636759301431,126.985016689481
에스알 호텔  사당,서울 동작구 동작대로1길 15,10197,서울,국내,2성,63.0,100개 미만,관광호텔업,분류,37.4771517581837,126.980409232798
